frequency_hz,comsol_s11_db,comsol_s12_db,comsol_s21_db,comsol_s22_db,delta_s11_complex,delta_s11_db,delta_s12_complex,delta_s12_db,delta_s21_complex,delta_s21_db,delta_s22_complex,delta_s22_db,hfss_s11_db,hfss_s12_db,hfss_s21_db,hfss_s22_db
1000000000.0,-24.35159191388541,-0.1436595273169042,-0.14366113377113385,-24.307114658203965,0.02699096880550861,5.108477555167511,0.021576679120344066,0.04520071736016354,0.021576691109510916,0.0451991109059339,0.02754331120105467,5.217053607088111,-29.46006946905292,-0.18886024467706775,-0.18886024467706775,-29.524168265292076
1050000000.0,-24.374301106966474,-0.1513782403143411,-0.15137991889582186,-24.32926343706678,0.026340219416016157,4.962951885118869,0.022841327394074257,0.04681975705075617,0.022841323721394646,0.046818078469247765,0.026935141815255043,5.069779016834346,-29.337252992085343,-0.19819799736509727,-0.19819799736506963,-29.399042453901124
1100000000.0,-24.4487025614113,-0.15910351341763151,-0.15910518610972452,-24.403523422952034,0.025504694517243083,4.810089282698918,0.024116101201981193,0.048420080784120495,0.024116084503039762,0.04841840809199194,0.026138442427105106,4.914126831506373,-29.258791844110217,-0.207523594201752,-0.20752359420171645,-29.317650254458407
1150000000.0000002,-24.57613100981774,-0.1668313010666084,-0.16683289959780861,-24.53130855496316,0.024491029259225104,4.649155012152971,0.025400454024064902,0.04998784362283995,0.02540042840820378,0.049986245091596215,0.025159509688078886,4.7492039702692,-29.22528602197071,-0.21681914468944835,-0.21681914468940483,-29.28051252523236
1200000000.0000002,-24.75868581447548,-0.17456091574768162,-0.17456238980341748,-24.714823956323116,0.023306680234196124,4.47906687762865,0.02669391259457696,0.051509898151818806,0.026693882855487797,0.0515084240960384,0.02400551482502978,4.5737267405624635,-29.23775269210413,-0.22607081389950043,-0.22607081389945588,-29.28855069688558
1250000000.0,-24.99932000830711,-0.18229495313883068,-0.18229627343455462,-24.9571668773195,0.0219599680173428,4.2983429043356765,0.027996022355407726,0.052973553638945375,0.02799599337596473,0.052972233343175856,0.02268452285174255,4.385948354940524,-29.297662912642785,-0.23526850677777605,-0.23526850677773048,-29.343115232260025
1300000000.0,-25.301978492974186,-0.19003912763991598,-0.1900402850229918,-25.262483157624356,0.02046014777360932,4.105018592008086,0.02930630001932291,0.05436640192442982,0.02930627647414373,0.054365244541317304,0.021205528033363764,4.183546399775121,-29.406997084982272,-0.2444055295643458,-0.2444055295643091,-29.446029557399477
1350000000.0,-25.67179989712284,-0.19780202540860647,-0.1978030281506245,-25.636197909422556,0.018817521300017997,3.896523287589652,0.03062419253526223,0.05567621531520389,0.030624178815275866,0.05567521257315905,0.01957851115973843,3.9634539688179125,-29.56832318471249,-0.25347824072381037,-0.25347824072378355,-29.59965187824047
1400000000.0000002,-26.115404460325983,-0.20559478229319958,-0.20559565326370893,-26.085350276979113,0.01704362135587247,3.6694992257342633,0.03194904228273715,0.05689091933509918,0.03194904250296312,0.056890048364570955,0.017814533114587854,3.721607910434848,-29.784903686060247,-0.26248570162829876,-0.2624857016282799,-29.80695818741396
1450000000.0000002,-26.641301604205964,-0.21343069492139013,-0.21343146936122828,-26.619079849625386,0.015151538865386841,3.419538025261808,0.033280058599089966,0.05799864004705926,0.0332800765802309,0.05799786560721118,0.015925898706558857,3.452570799868184,-30.06083962946777,-0.2714293349684494,-0.27142933496843946,-30.07165064949357
1500000000.0,-27.260466841435015,-0.22132477352423577,-0.2213254973929363,-27.249341376659547,0.013156562722487329,3.140796863547539,0.03461629591898794,0.05898782306146519,0.0346163350930958,0.05898709919275566,0.013926471896368774,3.1489547348751437,-30.401263704982554,-0.28031259658570096,-0.28031259658569196,-30.39829611153469
1550000000.0,-27.9871583636759,-0.22929324523826367,-0.22929397373569843,-27.991973085336824,0.011077578510321266,2.8254403261009955,0.03595663893934737,0.059847418982160616,0.03595670217462889,0.05984669048472585,0.011832351653486265,2.8005257734471414,-30.812598689776895,-0.2891406642204243,-0.2891406642204243,-30.792498858783965
1600000000.0,-28.84006220173328,-0.23735301703081307,-0.2373538127976234,-28.86832556187489,0.008940557275355029,2.4628406493616133,0.03729979527341991,0.06056712762003874,0.03729988464438306,0.060566331853228406,0.009663516303813005,2.392782160918131,-31.302902851094892,-0.2979201446508518,-0.2979201446508518,-31.26110772279302
1650000000.0000002,-29.843835385206546,-0.24552110829377422,-0.2455220388556514,-29.907789894221754,0.006788836197059491,2.0384929424400298,0.038644296049389903,0.06113769065312963,0.0386444125883547,0.061136760091252434,0.007448524702551877,1.9046548147135631,-31.882328327646576,-0.30665879894690384,-0.30665879894690384,-31.812444708935317
1700000000.0000002,-31.030905953102167,-0.2538140644166288,-0.25381519856190987,-31.151738215468146,0.004720826032449029,1.5328096751211326,0.039988504786893066,0.06155121974106437,0.039988648259767716,0.06155008559578329,0.005241374020343686,1.3047682165990118,-32.5637156282233,-0.31536528415769316,-0.31536528415769316,-32.45650643206716
1750000000.0,-32.44235265361183,-0.26224736407287463,-0.2622487670741334,-32.659383127467464,0.003062399483639562,0.9209631375517233,0.04133063469586599,0.06180154467709292,0.041330803456610554,0.06180014167583414,0.003205672292962823,0.5456118111789436,-33.36331579116355,-0.32404890874996756,-0.32404890874996756,-33.20499493864641
1800000000.0,-34.12214769937781,-0.2708348343305227,-0.27083656224342323,-34.51422921220644,0.00281526856084862,0.17935397476107795,0.04266877429531148,0.06188456422485544,0.042668965270962804,0.0618828363119549,0.002126294782034181,-0.4434415597403003,-34.30150167413889,-0.33271939855537813,-0.33271939855537813,-34.07078765246614
1850000000.0,-36.079810020709374,-0.27958808886565706,-0.27959018256593826,-36.81516277932075,0.004263194868624507,-0.6769378029475845,0.0440009209636946,0.06179858101295704,0.04400112981689632,0.06179648731267584,0.0032430553772947544,-1.7493485959508632,-35.40287221776179,-0.3413866698786141,-0.3413866698786141,-35.06581418336989
1900000000.0000002,-38.12758778952288,-0.2885160054821383,-0.2885184854903734,-39.5373828423261,0.006327713165587991,-1.4339868017483823,0.04532502173815998,0.06154460127222211,0.04532524322534847,0.061542121263987004,0.005314296650928514,-3.342718864057403,-36.693600987774495,-0.3500606067543604,-0.3500606067543604,-36.1946639782687
1950000000.0000002,-39.459634779765054,-0.2976242597187368,-0.29762712307564376,-41.72711555718513,0.008549602681240108,-1.2709556648759985,0.04663902037958284,0.0611265803598669,0.04663924887412484,0.061123717002950884,0.007571496993761781,-4.28974896202633,-38.188679114889055,-0.3587508400786037,-0.35875084007859465,-37.4373665951588
2000000000.0,-38.93667090304297,-0.3069149314938143,-0.306918151713631,-41.01319178264676,0.01079718086156982,0.9088587452203853,0.0479409094209329,0.06055159592412518,0.047941139519491374,0.06054837570430849,0.009852229738523293,-2.3048981877990187,-39.84552964826336,-0.3674665274179395,-0.3674665274179395,-38.70829359484774
2050000000.0000002,-37.00989527001299,-0.3163862011870009,-0.31638973162058964,-38.26852710801772,0.013015472133374187,4.418456866019461,0.04922878562436846,0.05982993244856588,0.04922901271247055,0.05982640201496908,0.012100412764608477,1.5155307996551102,-41.42835213603245,-0.3762161336355668,-0.3762161336355587,-39.78405790767283
2100000000.0,-34.84871294322977,-0.3260321499232724,-0.32603592984121627,-35.57870302982918,0.015171593722130757,7.461890901555201,0.05050090699742919,0.05897506404258257,0.05050112765629487,0.0589712841246387,0.01428435112359442,4.703331770878798,-42.31060384478497,-0.38500721396585497,-0.38500721396585497,-40.282034800707976
2150000000.0000005,-32.911846238640614,-0.33584267582122473,-0.33584663766737977,-33.36143340466889,0.017240879972716512,8.927806731762509,0.051755749313112394,0.05800352689180849,0.05175596149933782,0.057999565045662504,0.01638032472886504,6.551894855587193,-41.83965297040312,-0.3938462027130332,-0.39384620271304227,-39.91332826025608
2200000000.0,-31.25996796018308,-0.345803533688907,-0.34580760965157276,-31.55447241987597,0.019202511446481718,9.044292732625099,0.05299205997874677,0.05693467853809825,0.052992262991963246,0.056930602575432476,0.018368090677136493,7.270210911070357,-40.30426069280818,-0.40273821222700523,-0.40273821222700523,-38.82468333094633
