frequency_hz,hfss_s11_db,comsol_s11_db,delta_s11_db,hfss_s11_phase_deg,comsol_s11_phase_deg,delta_s11_phase_deg,delta_s11_complex,hfss_s21_db,comsol_s21_db,delta_s21_db,hfss_s21_phase_deg,comsol_s21_phase_deg,delta_s21_phase_deg,delta_s21_complex,hfss_s12_db,comsol_s12_db,delta_s12_db,hfss_s12_phase_deg,comsol_s12_phase_deg,delta_s12_phase_deg,delta_s12_complex,hfss_s22_db,comsol_s22_db,delta_s22_db,hfss_s22_phase_deg,comsol_s22_phase_deg,delta_s22_phase_deg,delta_s22_complex
1000000000.0,-29.46006946905292,-24.35159191388541,5.108477555167511,144.513386554487,146.57921327002074,2.0658267155337455,0.02699096880550861,-0.18886024467706775,-0.14366113377113385,0.0451991109059339,-112.891099168122,-114.11548774372096,-1.2243885755989652,0.021576691109510916,-0.18886024467706775,-0.1436595273169042,0.04520071736016354,-112.891099168122,-114.11548432236006,-1.224385154238064,0.021576679120344066,-29.524168265292076,-24.307114658203965,5.217053607088111,146.761436823046,144.80706587309786,-1.9543709499481565,0.02754331120105467
1050000000.0,-29.337252992085343,-24.374301106966474,4.962951885118869,139.755110645933,141.48713729941434,1.7320266534813413,0.026340219416016157,-0.19819799736506963,-0.15137991889582186,0.046818078469247765,-118.534080505776,-119.83321794414987,-1.2991374383738616,0.022841323721394646,-0.19819799736509727,-0.1513782403143411,0.04681975705075617,-118.534080505775,-119.83321539974145,-1.2991348939664533,0.022841327394074257,-29.399042453901124,-24.32926343706678,5.069779016834346,142.114984212641,139.58478972379538,-2.530194488845609,0.026935141815255043
1100000000.0,-29.258791844110217,-24.4487025614113,4.810089282698918,135.012358640099,136.44866364563927,1.4363050055402766,0.025504694517243083,-0.20752359420171645,-0.15910518610972452,0.04841840809199194,-124.177505012996,-125.55214218928265,-1.3746371762866545,0.024116084503039762,-0.207523594201752,-0.15910351341763151,0.048420080784120495,-124.177505012996,-125.5521404891254,-1.3746354761294128,0.024116101201981193,-29.317650254458407,-24.403523422952034,4.914126831506373,137.487513044502,134.40742848211298,-3.0800845623890325,0.026138442427105106
1150000000.0000002,-29.22528602197071,-24.57613100981774,4.649155012152971,130.294173076267,131.46862741765995,1.1744543413929591,0.024491029259225104,-0.21681914468940483,-0.16683289959780861,0.049986245091596215,-129.821512102992,-131.2723894893213,-1.4508773863293243,0.02540042840820378,-0.21681914468944835,-0.1668313010666084,0.04998784362283995,-129.821512102992,-131.27238849105228,-1.4508763880602942,0.025400454024064902,-29.28051252523236,-24.53130855496316,4.7492039702692,132.88895493957,129.27826877072664,-3.6106861688433582,0.025159509688078886
1200000000.0000002,-29.23775269210413,-24.75868581447548,4.47906687762865,125.60947810732802,126.55373242154857,0.9442543142205579,0.023306680234196124,-0.22607081389945588,-0.17456238980341748,0.0515084240960384,-135.466242993344,-136.9940921760478,-1.5278491827037897,0.026693882855487797,-0.22607081389950043,-0.17456091574768162,0.051509898151818806,-135.466242993344,-136.99409166375892,-1.527848670414926,0.02669391259457696,-29.28855069688558,-24.714823956323116,4.5737267405624635,128.329348650604,124.20207191109725,-4.127276739506755,0.02400551482502978
1250000000.0,-29.297662912642785,-24.99932000830711,4.2983429043356765,120.96751963443299,121.7131124513679,0.7455928169349022,0.0219599680173428,-0.23526850677773048,-0.18229627343455462,0.052972233343175856,-141.111838631933,-142.71738137537824,-1.605542743445227,0.02799599337596473,-0.23526850677777605,-0.18229495313883068,0.052973553638945375,-141.111838631932,-142.71738109260417,-1.6055424606721829,0.027996022355407726,-29.343115232260025,-24.9571668773195,4.385948354940524,123.81933428340702,119.18550851344818,-4.6338257699588326,0.02268452285174255
1300000000.0,-29.406997084982272,-25.301978492974186,4.105018592008086,116.37835922120499,116.9591430064067,0.5807837852017315,0.02046014777360932,-0.2444055295643091,-0.1900402850229918,0.054365244541317304,-146.758437805204,-148.44238283928365,-1.6839450340796418,0.02930627647414373,-0.2444055295643458,-0.19003912763991598,0.05436640192442982,-146.758437805204,-148.44238251023378,-1.6839447050297736,0.02930630001932291,-29.446029557399477,-25.262483157624356,4.183546399775121,119.37071727416199,114.2377918855597,-5.1329253886023025,0.021205528033363764
1350000000.0,-29.56832318471249,-25.67179989712284,3.896523287589652,111.853470375527,112.30863739440755,0.45516701888055877,0.018817521300017997,-0.25347824072378355,-0.1978030281506245,0.05567521257315905,-152.406175455867,-154.1692131513725,-1.763037695505517,0.030624178815275866,-0.25347824072381037,-0.19780202540860647,0.05567621531520389,-152.406175455867,-154.1692124912816,-1.7630370354146123,0.03062419253526223,-29.59965187824047,-25.636197909422556,3.9634539688179125,114.997156142383,109.37161867013604,-5.625537472246947,0.01957851115973843
1400000000.0000002,-29.784903686060247,-26.115404460325983,3.6694992257342633,107.406504094682,107.78464962651363,0.3781455318316205,0.01704362135587247,-0.2624857016282799,-0.20559565326370893,0.056890048364570955,-158.055181220697,-159.89797633313165,-1.8427951124346578,0.03194904250296312,-0.26248570162829876,-0.20559478229319958,0.05689091933509918,-158.055181220697,-159.8979750534667,-1.8427938327697007,0.03194904228273715,-29.80695818741396,-26.085350276979113,3.721607910434848,110.715048235247,104.60459890291416,-6.110449332332848,0.017814533114587854
1450000000.0000002,-30.06083962946777,-26.641301604205964,3.419538025261808,103.054322419824,103.4192652322914,0.36494281246740456,0.015151538865386841,-0.27142933496843946,-0.21343146936122828,0.05799786560721118,-163.705578185404,-165.6287608835078,-1.9231826981038012,0.0332800765802309,-0.2714293349684494,-0.21343069492139013,0.05799864004705926,-163.705578185404,-165.62875869760902,-1.9231805122050218,0.033280058599089966,-30.07165064949357,-26.619079849625386,3.452570799868184,106.544721775829,99.96149240121548,-6.5832293746135235,0.015925898706558857
