frequency_hz,reference_s11_db,rebuilt_s11_db,delta_s11_db,delta_s11_complex,delta_s11_phase_deg,reference_s21_db,rebuilt_s21_db,delta_s21_db,delta_s21_complex,delta_s21_phase_deg,reference_s12_db,rebuilt_s12_db,delta_s12_db,delta_s12_complex,delta_s12_phase_deg,reference_s22_db,rebuilt_s22_db,delta_s22_db,delta_s22_complex,delta_s22_phase_deg
1650000000.0,-31.882328327646576,-31.882328327599634,4.694200583799102e-11,1.5698996735467952e-13,1.7007550923153758e-10,-0.30665879894690384,-0.30665879894316167,3.742173237952784e-12,6.807149531353628e-13,-3.200284481863491e-11,-0.30665879894690384,-0.30665879894316167,3.742173237952784e-12,6.807149531353628e-13,-3.200284481863491e-11,-31.812444708935317,-31.812444708860088,7.522871214860061e-11,3.5463554523756275e-13,-6.168079380586278e-10
1700000000.0,-32.5637156282233,-32.56371562819559,2.7711166694643907e-11,9.304169858961078e-14,1.3369572116062045e-10,-0.31536528415769316,-0.31536528415299114,4.702016553892463e-12,8.923536265440661e-13,-4.3002046368201263e-11,-0.31536528415769316,-0.31536528415299114,4.702016553892463e-12,8.788673355849497e-13,-4.200728653813712e-11,-32.45650643206716,-32.456506431993866,7.329248319365433e-11,3.5256865142925996e-13,-6.961897724977462e-10
1750000000.0,-33.36331579116355,-33.363315791155784,7.766232101857895e-12,5.369125987891361e-14,1.3380940799834207e-10,-0.32404890874996756,-0.32404890874492764,5.039912931437129e-12,9.819313313509195e-13,-4.800426722795237e-11,-0.32404890874996756,-0.3240489087449366,5.030975636088897e-12,9.813733138684138e-13,-4.800426722795237e-11,-33.20499493864641,-33.204994938580185,6.622258297284134e-11,3.4312796223490897e-13,-7.859171091695316e-10
1800000000.0,-34.30150167413889,-34.301501674150295,-1.1404210908949608e-11,6.499570907284622e-14,1.779767444531899e-10,-0.33271939855537813,-0.3327193985504865,4.89164264649844e-12,9.995142693384977e-13,-4.999378688808065e-11,-0.33271939855537813,-0.33271939855050553,4.872602321626118e-12,9.984367709208603e-13,-4.999378688808065e-11,-34.07078765246614,-34.0707876524136,5.253752988210181e-11,3.273232633009198e-13,-8.819824870442972e-10
1850000000.0,-35.40287221776179,-35.40287221778952,-2.773248297671671e-11,9.781606251577734e-14,2.7480950848257635e-10,-0.3413866698786141,-0.3413866698742501,4.364009154045334e-12,9.53769493683108e-13,-4.899902705801651e-11,-0.3413866698786141,-0.3413866698742682,4.345912518743944e-12,9.527295746488011e-13,-4.899902705801651e-11,-35.06581418336989,-35.06581418333928,3.0610181056545116e-11,3.0654682864649797e-13,-9.744951512402622e-10
1900000000.0,-36.693600987774495,-36.69360098781201,-3.751665644813329e-11,1.2752364472169095e-13,4.3371528590796515e-10,-0.3500606067543604,-0.35006060675076217,3.5982328228101323e-12,8.233538655147651e-13,-4.3002046368201263e-11,-0.3500606067543604,-0.3500606067507701,3.5902947281840625e-12,8.228796008099038e-13,-4.3002046368201263e-11,-36.1946639782687,-36.19466397827072,-2.0179413695586845e-12,2.826295955058237e-13,-1.0448104603710817e-09
1950000000.0,-38.188679114889055,-38.18867911492311,-3.40563133249816e-11,1.5001870605279746e-13,6.605773705814499e-10,-0.35875084007859465,-0.35875084007587815,2.716493696652833e-12,6.58782001274999e-13,-3.501554601825774e-11,-0.3587508400786037,-0.3587508400758872,2.716493696652833e-12,6.586739128617049e-13,-3.501554601825774e-11,-37.4373665951588,-37.43736659520633,-4.75282035949931e-11,2.576953627450985e-13,-1.0535927685850766e-09
2000000000.0,-39.84552964826336,-39.84552964826763,-4.270361841918202e-12,1.6519902126664656e-13,9.29389898374211e-10,-0.3674665274179395,-0.3674665274161105,1.828981410767483e-12,4.796353254223727e-13,-2.5977442419389263e-11,-0.3674665274179395,-0.3674665274161287,1.8108292643148616e-12,4.78811440576454e-13,-2.5977442419389263e-11,-38.70829359484774,-38.70829359495231,-1.0457057442181394e-10,2.336020075760251e-13,-9.245013643521816e-10
2049999999.9999998,-41.42835213603245,-41.4283521359645,6.794920182073838e-11,1.7445152274590655e-13,1.0896030744333984e-09,-0.3762161336355587,-0.37621613363455175,1.006972283335017e-12,2.5883301579563507e-13,-1.4011902749189176e-11,-0.3762161336355668,-0.37621613363456075,1.0060285937640856e-12,2.5888213245433763e-13,-1.4011902749189176e-11,-39.78405790767283,-39.78405790783144,-1.5860734947636956e-10,2.1224662751765622e-13,-5.58998181077186e-10
2100000000.0,-42.31060384478497,-42.310603844620694,1.6427748050773516e-10,1.7946908261982093e-13,7.910045951575739e-10,-0.38500721396585497,-0.38500721396556464,2.9032332093947844e-13,5.94587401187259e-14,-3.0127011996228248e-12,-0.38500721396585497,-0.38500721396556464,2.9032332093947844e-13,5.94587401187259e-14,-3.0127011996228248e-12,-40.282034800707976,-40.28203480088215,-1.7417534081687336e-10,1.9416227504904267e-13,2.3987922759260982e-11
2150000000.0,-41.83965297040312,-41.839652970207844,1.9527846006894833e-10,1.820069788998962e-13,4.200728653813712e-11,-0.39384620271304227,-0.3938462027132965,-2.5424107263916085e-13,1.3656931225241041e-13,8.01492205937393e-12,-0.3938462027130332,-0.3938462027132965,-2.6328939028985587e-13,1.367834078662411e-13,8.01492205937393e-12,-39.91332826025608,-39.913328260387914,-1.31834099192929e-10,1.7943749012564595e-13,5.290132776281098e-10
