"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(2,2)) []"
0.55,-0.00469726495098398,-61.3652028060821,-0.00688728306080711
0.575,-0.00719670861755907,-59.1110323542393,-0.0124107079890489
0.6,-0.0132717549444503,-55.5655799846088,-0.0396347446558553
0.625,-0.0237805400896373,-43.6875897883457,-0.319169466340474
0.65,-0.06065289052762,-37.3093647089145,-0.545081293425806
0.675,-0.0711952678166526,-39.5734849219997,-0.216174643416616
0.7,-0.059512592877025,-41.7019786736104,-0.130642815453408
0.725,-0.0567625511694292,-42.5857858592728,-0.113081346147593
0.75,-0.0641090694281645,-42.4267811081727,-0.119710935150113
