"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(2,2)) []"
0.55,-5.48814225223857,-14.5642061727897,-5.46064575933499
0.575,-9.73943008046581,-14.5005049879797,-9.67614933003331
0.6,-19.3479338715516,-15.3748224174748,-19.0573218182058
0.625,-24.9396703630869,-16.5857885093573,-25.7726150115524
0.65,-16.5865900379352,-17.7948967636814,-16.9402878599293
0.675,-14.7235297114113,-19.0074878584903,-14.9979165192066
0.7,-14.6369409115075,-20.2834388972985,-14.8037665899801
0.725,-14.5748810738003,-21.6584836850549,-14.5118689013374
0.75,-13.044372016421,-23.0531861003519,-12.8135302410912
