"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(2,2)) []"
0.55,-6.10931021179896,-19.494239563823,-6.15218812419799
0.575,-10.4624808317079,-20.2118146467878,-10.5321127702903
0.6,-19.639409643284,-20.7374163995843,-19.8236655264475
0.625,-25.5551596921301,-21.2093993927025,-25.4722050034224
0.65,-16.9418061661524,-21.913449667376,-16.9184517968199
0.675,-14.890940724003,-22.7824589493216,-14.9025032510177
0.7,-14.6501405841721,-23.5901952822054,-14.6932322829488
0.725,-14.4037005683743,-24.0103781718176,-14.4618258238028
0.75,-12.6856686324269,-23.9155808465076,-12.7186874119373
