frequency_hz,s11_real,s11_imag,s11_db,s11_phase_deg,s21_real,s21_imag,s21_db,s21_phase_deg,s12_real,s12_imag,s12_db,s12_phase_deg,s22_real,s22_imag,s22_db,s22_phase_deg
3050000000.0,-0.012793369918183016,0.044432183815053254,-26.700147919309842,106.062710321764,0.9079326589005341,0.2343343233472766,-0.5588550491528521,14.4720170481105,0.9079326589005332,0.23433432334727636,-0.5588550491528604,14.4720170481105,-0.009344321030403878,0.04523805670039122,-26.70846673973157,101.670813377687
3100000000.0,-0.009438752416477882,0.045407963557677386,-26.673650003306108,101.742600742965,0.9258009203479445,0.14262530983443777,-0.5677795671263662,8.757914646391532,0.9258009203479446,0.14262530983443727,-0.5677795671263651,8.757914646391502,-0.005745478284103888,0.045886999453987755,-26.698649058870675,97.1368225794818
3150000000.0,-0.005998309445675319,0.04578916563580612,-26.71085014089709,97.4631608275824,0.9344526236654198,0.04965065288464589,-0.5766106957893362,3.04146002893713,0.9344526236654198,0.04965065288464589,-0.5766106957893362,3.04146002893713,-0.0020849520420414417,0.04590117915185497,-26.75457195794192,92.6007370564606
3200000000.0,-0.002583572874501223,0.04556581034738059,-26.813278433410062,93.2451852809811,0.933809605774004,-0.04366934508361042,-0.5853458736093319,-2.67747042215398,0.933809605774004,-0.04366934508361042,-0.5853458736093319,-2.67747042215398,0.0015190634301173336,0.04527162767872643,-26.8785908468481,88.0781941073817
3250000000.0,0.0006928407264306086,0.04474900884562205,-26.983290634588457,89.1129707904642,0.9238845399603324,-0.136410980843935,-0.593985576105897,-8.399003513249673,0.9238845399603324,-0.136410980843935,-0.593985576105897,-8.399003513249673,0.004947100352336012,0.04401163068480766,-27.07412254911389,83.5866231015063
3300000000.0,0.003721233567790019,0.04337105871258042,-27.224145492175435,85.096036621088,0.9047808942451748,-0.2276558681480654,-0.602533459938395,-14.123265567355602,0.9047808942451748,-0.2276558681480654,-0.602533459938395,-14.123265567355602,0.008082634604725523,0.04215690330829891,-27.345846122981946,79.146537451269
3350000000.0,0.006398831992955579,0.041484780049352764,-27.540108502000614,81.2314989344165,0.8766921202614687,-0.316499625367906,-0.6109964017144089,-19.850378532584,0.8766921202614687,-0.316499625367906,-0.6109964017144089,-19.850378532584,0.010816325507487578,0.03976496535646934,-27.699995614657777,74.7833312728202
3400000000.0,0.008633651449920456,0.03916209444760319,-27.93657355450204,77.5674779197658,0.8399000748246253,-0.4020604847576429,-0.6193844237371046,-25.580456002694,0.8399000748246253,-0.4020604847576429,-0.6193844237371046,-25.580456002694,0.013050127747118076,0.036913713670945376,-28.144782171801776,70.5299395306985
3450000000.0,0.010348079701498486,0.03649187469363117,-28.42017780886515,74.1681399962972,0.794772673021333,-0.48348777413047966,-0.627710502732594,-31.3135992933832,0.794772673021333,-0.48348777413047966,-0.627710502732594,-31.3135992933832,0.014701124903383322,0.0336992166004627,-28.691003212521885,66.4309896245254
3500000000.0,0.011482041754666545,0.03357711840642579,-28.998845353183633,71.1213480959645,0.7417607688654704,-0.559970218082398,-0.6359902618353728,-37.0498937250951,0.7417607688654704,-0.559970218082398,-0.6359902618353728,-37.0498937250951,0.01570493831621377,0.03023278273960384,-29.352926477008133,62.549604221556
